detector,filter,sample_size,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1
animal_count_2,multi_including_wildebeest,323,1,275,36,11,0.02702702702702703,0.08333333333333333,0.04081632653061225
animal_count_2,multi_including_none_of_the_five,124,2,57,18,47,0.1,0.04081632653061224,0.05797101449275362
animal_count_3,entire_dataset,50270,124,45090,3948,1108,0.030451866404715127,0.10064935064935066,0.046757164404223235
animal_count_3,daytime,368,1,318,39,10,0.025,0.09090909090909091,0.03921568627450981
animal_count_3,nighttime,183,0,174,7,2,0.0,0.0,NaN
animal_count_3,blank,36734,0,34041,2693,0,0.0,NaN,NaN
animal_count_3,non_blank,13536,124,11049,1255,1108,0.08992023205221175,0.10064935064935066,0.0949827652240521
animal_count_3,one_animal,6172,0,5552,620,0,0.0,NaN,NaN
animal_count_3,simple,4583,124,3007,344,1108,0.26495726495726496,0.10064935064935066,0.14588235294117646
animal_count_3,complex,2781,0,2490,291,0,0.0,NaN,NaN
animal_count_3,single_species,13045,116,10648,1207,1074,0.08767951625094482,0.09747899159663866,0.09231993633107839
animal_count_3,only_buffalo,1169,6,940,121,102,0.047244094488188976,0.05555555555555555,0.05106382978723405
animal_count_3,only_elephant,1190,16,951,114,109,0.12307692307692308,0.128,0.1254901960784314
animal_count_3,only_ostrich,356,0,305,36,15,0.0,0.0,NaN
animal_count_3,only_warthog,1090,4,923,98,65,0.0392156862745098,0.057971014492753624,0.04678362573099415
animal_count_3,only_wildebeest,3057,31,2476,278,272,0.10032362459546926,0.10231023102310231,0.10130718954248366
animal_count_3,only_other,6183,59,5053,560,511,0.09531502423263329,0.10350877192982456,0.09924306139613122
animal_count_3,multi_species,491,8,401,48,34,0.14285714285714285,0.19047619047619047,0.16326530612244897
animal_count_3,multi_including_buffalo,18,0,14,4,0,0.0,NaN,NaN
animal_count_3,multi_including_elephant,7,0,7,0,0,NaN,NaN,NaN
animal_count_3,multi_including_ostrich,1,0,1,0,0,NaN,NaN,NaN
animal_count_3,multi_including_warthog,25,0,21,4,0,0.0,NaN,NaN
animal_count_3,multi_including_wildebeest,323,4,277,26,16,0.13333333333333333,0.2,0.16
animal_count_3,multi_including_none_of_the_five,124,4,86,16,18,0.2,0.18181818181818182,0.1904761904761905
animal_count_4,entire_dataset,50270,72,46928,2622,648,0.026726057906458798,0.1,0.04217926186291741
animal_count_4,daytime,368,0,338,23,7,0.0,0.0,NaN
animal_count_4,nighttime,183,0,170,11,2,0.0,0.0,NaN
animal_count_4,blank,36734,0,35124,1610,0,0.0,NaN,NaN
animal_count_4,non_blank,13536,72,11804,1012,648,0.06642066420664207,0.1,0.07982261640798226
animal_count_4,one_animal,6172,0,5711,461,0,0.0,NaN,NaN
animal_count_4,simple,4583,72,3533,330,648,0.1791044776119403,0.1,0.12834224598930483
animal_count_4,complex,2781,0,2560,221,0,0.0,NaN,NaN
animal_count_4,single_species,13045,68,11386,985,606,0.06457739791073125,0.10089020771513353,0.07874927620150551
animal_count_4,only_buffalo,1169,4,1011,92,62,0.041666666666666664,0.06060606060606061,0.04938271604938271
animal_count_4,only_elephant,1190,8,1026,88,68,0.08333333333333333,0.10526315789473684,0.0930232558139535
animal_count_4,only_ostrich,356,2,334,19,1,0.09523809523809523,0.6666666666666666,0.16666666666666666
animal_count_4,only_warthog,1090,1,1005,72,12,0.0136986301369863,0.07692307692307693,0.02325581395348837
animal_count_4,only_wildebeest,3057,18,2623,256,160,0.06569343065693431,0.10112359550561797,0.07964601769911504
animal_count_4,only_other,6183,35,5387,458,303,0.07099391480730223,0.10355029585798817,0.0842358604091456
animal_count_4,multi_species,491,4,418,27,42,0.12903225806451613,0.08695652173913043,0.1038961038961039
